행정구역,인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
대구광역시 달서구 용산1동(2729057100),"31,505","31,505","2,007","3,535","4,983","3,311","5,208","6,670","3,579","1,530",618,61,3
대구광역시 달서구 용산2동(2729057200),"29,297","29,297","1,794","2,919","4,683","3,289","4,548","6,513","3,467","1,390",628,65,1
대구광역시 달서구 이곡1동(2729057600),"23,486","23,486","1,319","2,473","4,127","2,515","3,661","5,245","2,532","1,073",491,48,2
대구광역시 달서구 이곡2동(2729057700),"16,692","16,692",865,"1,366","2,558","2,133","2,338","3,498","2,642",906,345,41,0
대구광역시 달서구 신당동(2729058500),"31,715","31,715","1,384","2,380","6,783","3,634","4,497","6,359","3,818","1,874",882,104,0
대구광역시 달서구 본리동(2729059000),"21,917","21,917","2,192","2,183","2,604","3,088","4,034","3,740","2,580","1,055",390,48,3
대구광역시 달서구 월성1동(2729060100),"43,646","43,646","5,059","8,299","4,255","4,490","10,664","6,033","2,933","1,298",543,70,2
대구광역시 달서구 월성2동(2729060200),"16,281","16,281",591,"1,155","1,756","1,257","2,217","3,047","3,135","2,053",966,101,3
대구광역시 달서구 진천동(2729061500),"76,405","76,405","8,806","8,340","9,067","11,193","13,605","11,923","8,197","3,623","1,469",179,3
대구광역시 달서구 상인1동(2729062400),"38,857","38,857","2,942","4,758","5,242","4,000","6,320","7,221","5,103","2,128","1,004",138,1
대구광역시 달서구 상인2동(2729062500),"20,039","20,039","1,112","1,456","3,461","2,826","2,599","3,781","2,969","1,223",536,74,2
대구광역시 달서구 상인3동(2729062600),"11,325","11,325",347,584,"1,216","1,029","1,213","2,207","2,635","1,366",634,93,1
대구광역시 달서구 도원동(2729062800),"36,170","36,170","2,270","3,517","5,018","3,816","5,140","7,272","5,695","2,234","1,077",130,1
대구광역시 달서구 송현1동(2729063000),"19,528","19,528",828,"1,283","2,882","2,225","2,677","3,765","3,288","1,745",750,85,0
대구광역시 달서구 송현2동(2729064000),"18,294","18,294",743,"1,209","2,504","1,921","2,338","3,388","3,391","1,810",874,113,3
